time-step,cId,c.cpu(full/unused),c.storage(full/unused),c.ram(full/unused),c.currUsersAllocated
181,c3,"(224000, 71158)","(147456, 4296)","(311296, 114278)","['v24', 'v8', 'v25', 'v9', 'v43', 'v89', 'v73', 'v85', 'v12', 'v16', 'v0', 'v13']"
181,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c5,"(224000, 191934)","(147456, 130897)","(311296, 278441)",['v96']
181,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c10,"(224000, 112384)","(147456, 59261)","(311296, 90524)","['v34', 'v91', 'v48', 'v42', 'v59', 'v53', 'v57']"
181,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c12,"(224000, 43928)","(147456, 844)","(311296, 93940)","['v68', 'v52', 'v58', 'v93', 'v21', 'v40', 'v84', 'v82', 'v87', 'v41', 'v27', 'v77', 'v60']"
181,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c17,"(224000, 83890)","(147456, 17567)","(311296, 45263)","['v18', 'v17', 'v2', 'v70', 'v22', 'v78', 'v54', 'v10', 'v23', 'v79', 'v3', 'v98']"
181,c18,"(224000, 116173)","(147456, 935)","(311296, 143550)","['v76', 'v35', 'v46', 'v69', 'v11', 'v14', 'v6', 'v49', 'v83', 'v15', 'v81', 'v26', 'v72']"
181,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c28,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c30,"(224000, 151807)","(147456, 92023)","(311296, 139270)","['v45', 'v71', 'v37', 'v36', 'v80']"
181,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c35,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c39,"(224000, 36192)","(147456, 30086)","(311296, 61410)","['v28', 'v44', 'v62', 'v31', 'v29', 'v64', 'v55', 'v97']"
181,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c50,"(224000, 163841)","(147456, 62781)","(311296, 127033)","['v74', 'v51', 'v88', 'v75', 'v47', 'v99']"
241,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c5,"(224000, 67392)","(147456, 1223)","(311296, 110656)","['v24', 'v38', 'v8', 'v45', 'v74', 'v25', 'v51', 'v9', 'v88', 'v43', 'v89', 'v0', 'v75']"
241,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c25,"(224000, 91649)","(147456, 13258)","(311296, 44585)","['v73', 'v85', 'v12', 'v16', 'v7', 'v4', 'v13', 'v90', 'v1']"
241,c26,"(224000, 20338)","(147456, 960)","(311296, 78373)","['v18', 'v17', 'v2', 'v70', 'v22', 'v34', 'v78', 'v91', 'v48', 'v96', 'v54', 'v39', 'v10']"
241,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c28,"(224000, 19975)","(147456, 939)","(311296, 77753)","['v68', 'v52', 'v61', 'v58', 'v93', 'v21', 'v40', 'v84', 'v82', 'v87', 'v41', 'v77', 'v60']"
241,c29,"(224000, 116173)","(147456, 935)","(311296, 143550)","['v76', 'v35', 'v46', 'v69', 'v11', 'v14', 'v6', 'v49', 'v83', 'v15', 'v81', 'v26', 'v72']"
241,c30,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c35,"(224000, 136315)","(147456, 65780)","(311296, 65486)","['v32', 'v33', 'v67', 'v5', 'v19']"
241,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c50,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c5,"(224000, 44301)","(147456, 846)","(311296, 94756)","['v18', 'v17', 'v2', 'v70', 'v22', 'v34', 'v78', 'v91', 'v48', 'v54', 'v42', 'v10', 'v23']"
