time-step,cId,c.cpu(full/unused),c.storage(full/unused),c.ram(full/unused),c.currUsersAllocated
181,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
181,c50,"(224000, 188128)","(147456, 111779)","(311296, 176114)","['v75', 'v99', 'v47']"
241,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c5,"(224000, 15759)","(147456, 4067)","(311296, 32254)","['v25', 'v75', 'v38', 'v39', 'v51', 'v74', 'v63', 'v7', 'v8', 'v73', 'v89', 'v96']"
241,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c25,"(224000, 179504)","(147456, 78974)","(311296, 192683)","['v0', 'v9', 'v43', 'v85', 'v90']"
241,c26,"(224000, 4303)","(147456, 5228)","(311296, 28959)","['v37', 'v71', 'v10', 'v18', 'v23', 'v48', 'v59', 'v79', 'v70', 'v17', 'v3', 'v45', 'v22', 'v54', 'v91', 'v34']"
241,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c28,"(224000, 359)","(147456, 24286)","(311296, 81436)","['v21', 'v68', 'v41', 'v55', 'v77', 'v60', 'v50', 'v86', 'v40', 'v84', 'v93', 'v52', 'v31', 'v66']"
241,c29,"(224000, 84294)","(147456, 33884)","(311296, 12279)","['v6', 'v14', 'v35', 'v69', 'v46', 'v15', 'v30', 'v92', 'v19', 'v11', 'v33']"
241,c30,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c35,"(224000, 184044)","(147456, 98382)","(311296, 163668)","['v76', 'v5', 'v67']"
241,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c38,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c43,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
241,c50,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c2,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c3,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c5,"(224000, 84105)","(147456, 33890)","(311296, 12610)","['v10', 'v18', 'v23', 'v79', 'v70', 'v42', 'v57', 'v98', 'v53', 'v22', 'v54']"
301,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c16,"(224000, 87407)","(147456, 20509)","(311296, 49153)","['v0', 'v24', 'v25', 'v75', 'v12', 'v51', 'v74', 'v90', 'v99', 'v7', 'v89']"
301,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c25,"(224000, 8069)","(147456, 30764)","(311296, 89703)","['v13', 'v48', 'v59', 'v37', 'v71', 'v39', 'v91', 'v34', 'v8', 'v73', 'v45', 'v96']"
301,c26,"(224000, 183854)","(147456, 65583)","(311296, 229315)","['v16', 'v4', 'v9', 'v43', 'v85']"
301,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c28,"(224000, -363)","(147456, 32765)","(311296, 81831)","['v44', 'v64', 'v31', 'v65', 'v93', 'v52', 'v66']"
301,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c30,"(224000, 183954)","(147456, 81949)","(311296, 196506)","['v2', 'v17', 'v78', 'v3']"
301,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c33,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c34,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c35,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c36,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c37,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c38,"(224000, 219942)","(147456, 144349)","(311296, 307253)",['v38']
301,c39,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c40,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c41,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c42,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c43,"(224000, 80524)","(147456, 20740)","(311296, 102)","['v6', 'v14', 'v35', 'v69', 'v76', 'v83', 'v5', 'v19', 'v67', 'v11', 'v33']"
301,c44,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c45,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c46,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c47,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c48,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c49,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
301,c50,"(224000, 96389)","(147456, 82043)","(311296, 180237)","['v62', 'v40', 'v84', 'v61']"
361,c0,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c1,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c2,"(224000, 100196)","(147456, 7255)","(311296, 3985)","['v6', 'v14', 'v69', 'v15', 'v76', 'v26', 'v32', 'v5', 'v19', 'v92', 'v11']"
361,c3,"(224000, 32440)","(147456, 14530)","(311296, 8945)","['v48', 'v10', 'v18', 'v23', 'v79', 'v70', 'v17', 'v3', 'v53', 'v22', 'v54', 'v91', 'v34']"
361,c4,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c5,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c6,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c7,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c8,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c9,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c10,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c11,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c12,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c13,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c14,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c15,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c16,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c17,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c18,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c19,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c20,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c21,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c22,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c23,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c24,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c25,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c26,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c27,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c28,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c29,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c30,"(224000, 179933)","(147456, 95147)","(311296, 159735)","['v59', 'v78', 'v98', 'v57']"
361,c31,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
361,c32,"(224000, 224000)","(147456, 147456)","(311296, 311296)",[]
